col1,col2
12.779681,2.420979
12.652773,2.4013495
12.613903,2.4121177
12.749394,2.4398885
11.071385,4.302543
12.608454,2.4062977
11.970192,3.5762951
12.759724,2.4066284
12.654702,2.4051464
12.661642,2.4133923
11.127749,4.246608
12.214882,3.3023086
12.735996,2.4130795
11.007911,4.468804
12.511923,2.794136
11.18318,4.2245307
12.787798,2.4195967
12.646025,2.3884835
12.005059,3.5240757
12.659394,2.384912
12.527145,2.7063031
11.054047,4.3691816
12.64867,2.371617
11.210143,4.254591
11.788765,3.874777
12.767676,2.4199822
12.79445,2.4014187
11.128657,4.261225
12.988747,2.5914147
12.781015,2.461753
12.350115,2.8705432
12.773739,2.4645545
12.620101,2.5912168
11.752576,3.833079
12.313658,3.1473706
12.4328375,2.7783983
12.662549,2.4266133
11.664841,3.872724
12.395414,2.8892925
11.515452,4.0439143
11.715175,3.7111933
11.052619,4.5022388
12.582505,2.6506696
11.346503,4.0723524
12.733372,2.4367418
12.282581,3.3971815
12.56617,2.5961335
12.169772,3.6150014
10.998075,4.572206
12.327614,4.2961144
11.446133,4.1998167
12.150477,3.7115214
12.528495,2.6116903
12.375517,2.9076383
11.169616,4.310245
12.371674,3.220909
11.344459,4.091938
12.334268,3.4310932
10.91523,4.4760156
12.378637,2.8163512
11.11029,4.296312
11.055237,4.545269
11.266781,4.1545086
12.36334,2.8758721
12.581437,3.1617997
12.881562,2.5974712
12.551646,2.8959906
11.1440735,4.2967024
12.905493,3.1957505
10.851456,4.7319894
10.746689,4.919561
11.444309,4.280704
12.536949,2.849382
10.60996,5.1445527
12.202491,3.6313412
10.8969145,4.6509376
11.115858,4.3265376
12.590501,2.877307
12.527595,2.739897
12.531101,2.8650088
11.549075,4.0437603
12.435424,3.0338516
12.856762,2.8578818
9.526489,13.555405
10.785891,4.892491
12.539753,2.8224201
12.248746,3.1664472
11.159986,4.4398885
12.870894,2.8928673
12.200371,3.58857
11.086339,4.3641973
11.417002,4.166686
12.250792,3.473385
11.427128,3.9880033
13.032035,2.6898634
13.035769,2.6511745
12.947719,2.7057912
14.289665,9.610594
12.753069,2.4198112
12.268338,5.8161125
11.785649,4.095188
11.915503,3.9951832
12.422439,3.0767155
10.881229,4.843614
10.574832,5.165943
11.147385,4.314227
12.328547,3.0772357
11.532974,4.100883
12.608787,3.2283578
11.481684,4.195456
11.760295,3.9851372
12.336655,2.8942277
10.174267,5.2770934
12.7027855,2.6436975
12.731318,2.609281
12.194901,3.3568044
12.363532,3.313245
12.062328,3.7419858
12.40735,3.2230344
12.738593,3.6202185
12.131519,3.4219987
11.60883,4.2878222
11.852847,3.997488
11.718054,3.9788105
12.762589,2.4962327
12.369111,2.880203
12.392031,3.1391442
12.998246,2.727297
11.589399,4.1593027
12.477894,3.512919
11.0799465,4.434028
10.914913,4.4807343
10.975426,4.439426
11.067141,4.674035
12.386346,3.0836043
10.384594,5.7013183
10.935016,4.4428244
12.165528,3.2844734
10.922021,4.4878063
11.55608,4.159298
10.810733,4.7886696
10.35632,5.7262077
10.368392,5.72394
10.672164,5.191382
10.964533,4.435121
11.764785,3.9179153
12.274896,3.1445608
11.546669,4.3329725
11.108845,4.7384925
11.9286585,3.7479646
11.719403,4.3278418
10.88136,6.5067306
12.092999,3.5047667
12.419604,2.9257286
11.361956,4.429415
10.060658,8.236051
11.792173,3.9852428
11.40541,4.498486
12.188032,3.7650764
12.633735,2.7531188
12.389826,3.2957053
10.764036,5.0111394
9.692099,6.4884458
10.444819,5.187112
10.974893,4.906865
10.814052,4.8943925
11.648056,4.4881673
9.667066,6.5036883
10.367011,5.730452
12.601174,3.5720341
11.443061,4.6503596
10.749195,4.8676887
12.504147,2.9573364
10.34397,5.9857316
11.049798,4.6864867
10.789914,4.961498
12.831311,3.5739675
11.017774,4.501948
11.081818,4.7214575
11.543929,4.3595805
12.580948,3.8886216
12.349504,3.331056
12.6438875,3.4083648
12.719622,2.6800373
11.535896,4.4273787
12.073524,3.5792074
10.786286,4.9420304
12.14104,3.763655
11.420848,4.998474
11.7334175,4.3183303
11.674981,4.350708
12.709325,2.7116983
9.687669,5.795409
11.205408,4.9084253
10.972006,4.5033965
11.752237,4.394357
11.490428,4.5145774
12.830627,2.585114
10.456139,5.6469283
12.950665,2.8799558
12.890872,2.8582034
12.3717,2.8649547
12.162844,3.886547
11.938158,4.17386
12.089243,3.5426624
12.271903,4.119881
11.198914,4.9284506
11.885854,6.072924
10.396594,5.7365828
11.476775,4.6155
11.004531,4.9748216
11.376651,4.8764353
11.962718,3.7050054
12.002842,3.7707524
11.233333,4.9871125
11.339291,4.868658
12.665974,3.2967598
11.0976,5.0184026
11.7652235,4.2858744
11.099443,5.132089
12.286686,3.8818235
9.8714075,8.409408
11.839694,4.7327447
10.615089,6.352921
11.27943,4.9240966
9.606911,6.525603
9.596882,6.61529
11.200789,5.01745
12.296851,4.142747
12.5436735,2.7235954
12.315127,2.957625
12.7174425,3.3863988
11.929057,4.0864754
12.584791,2.7307527
12.188067,3.3896108
9.511492,7.2971053
9.586701,6.5418186
10.923388,5.9870367
12.451703,3.706436
12.713905,3.2021859
10.37563,6.4699564
10.931504,4.936256
11.130238,4.998336
12.188197,3.6136627
12.46654,3.7360392
11.43301,4.913763
10.18731,5.2646523
11.80705,4.4129624
12.072049,3.859683
12.274682,4.3624105
10.123938,5.3064666
9.933495,8.363319
10.975754,5.002085
11.644971,4.7056193
12.124449,3.7965107
9.716734,8.667182
11.1568365,5.5826974
11.911461,4.471189
11.50813,5.1822667
10.518844,5.338689
10.918872,6.1778054
11.828201,4.402081
12.873966,2.6963081
9.647391,6.6354938
9.581041,5.892592
6.983527,12.439551
12.247974,4.182654
10.723292,4.9513164
10.919032,4.477716
11.39906,5.22684
12.9360695,2.9835973
10.742669,4.9325604
8.788997,11.605269
11.284758,5.9402657
12.989173,3.8962784
12.078092,4.3643126
12.846343,2.6872878
12.402595,3.1176162
11.627542,4.8995113
12.781682,3.6722434
10.854709,5.516076
10.4881935,5.229293
11.633749,4.503731
10.636213,6.8084373
11.359622,5.390644
10.760662,6.5853715
10.588565,6.407019
12.975622,3.5255527
10.622668,7.5926785
10.793819,7.748635
11.730205,4.897378
11.842196,4.4774203
11.117074,5.5452104
10.253868,7.446149
11.3078985,5.4996204
11.28892,5.30038
10.498069,6.4894414
10.516866,5.3015876
13.0453615,3.9825535
11.546356,4.9408607
10.810911,6.0270977
10.379488,5.241781
10.361583,8.197967
9.373423,7.8504653
11.380009,5.1384974
10.555831,7.2317667
9.318868,7.7601857
11.269692,5.911042
10.162887,6.6746163
8.768688,11.667098
10.718372,6.2316318
8.813379,11.489408
9.834522,7.0050344
11.2056,5.7141023
15.211742,11.16306
11.869833,4.2633667
10.293355,5.234432
9.618765,5.996322
10.023092,8.35489
9.647383,8.818903
10.488712,5.3177333
9.415024,10.487284
12.662248,4.5549965
10.928926,5.564995
10.6225,7.7341275
12.504241,2.958103
12.535134,3.6483357
10.102842,6.149483
12.682715,2.836818
12.841942,2.6314435
12.845439,2.6553452
10.7686,6.3849387
11.318336,4.9762497
10.902252,6.1357718
11.5903425,5.545465
12.68828,3.575301
10.133706,8.193736
11.809491,5.0132675
9.583306,6.488895
12.752554,3.5003932
9.2403,7.286803
11.276544,5.807388
12.68218,3.5492353
12.656957,3.7519503
10.617883,7.0618997
11.649422,5.33516
9.809517,6.4141707
11.374304,5.498541
12.49396,2.956878
11.963326,6.3248334
11.329405,5.5429983
12.700149,4.3024044
11.65936,5.0479603
11.130955,6.2678137
10.514837,5.247095
11.969584,4.5452833
12.811193,3.6209593
9.703309,6.6971993
10.634866,7.083373
11.148288,8.240337
11.189098,6.167352
10.896693,6.322116
12.131338,4.5978117
10.634994,5.293394
9.953644,8.564285
10.425342,5.3439507
10.49156,6.5044947
9.947954,6.5357423
10.901265,6.4641995
10.952296,6.1815715
12.0866,4.4514933
10.009433,7.1732454
9.877221,6.4465513
9.30715,7.4418674
12.336841,3.8983357
9.784486,6.432039
9.30224,7.6937866
9.951948,7.8053083
9.451772,6.524265
12.346426,7.3865647
9.661581,5.9461317
9.275369,7.528167
9.774275,6.046474
12.147532,4.0282564
12.397676,4.3383493
11.632167,5.0331745
12.012318,5.4944935
11.446757,5.4462485
12.606479,3.8391793
10.713615,6.6538687
11.753578,5.0111156
11.884192,5.143122
11.1318865,6.219667
9.90198,8.642128
10.919543,6.787255
10.796333,5.5341377
