col1,col2
77.851524,2.3853905
76.31535,-1.8281406
75.58379,-1.8572526
76.5088,0.50578123
58.744114,-17.39368
75.65822,-2.040224
66.99138,-7.6768694
76.89993,1.2651516
75.720345,-1.4735749
76.59814,-1.083675
59.18955,-16.817686
68.16781,-5.4896317
75.631096,-0.07425203
58.54638,-18.03153
73.8377,-3.5112383
59.14427,-16.41028
77.29078,1.9133925
76.723854,-2.2265394
67.0514,-7.3732815
75.76893,-1.4683412
73.75583,-3.2060802
58.418205,-16.604294
75.679146,-1.4431294
56.679688,-13.885213
63.888504,-11.8909
77.456795,2.159793
76.91989,0.40900618
58.09557,-16.63434
75.50194,6.2449193
75.94877,0.91829747
71.137764,-2.2103765
76.13836,1.1628425
73.250496,-0.18135503
61.26089,-9.856668
68.65969,-3.7206318
70.66208,-0.8989674
75.113106,-0.57694924
60.551414,-11.405778
70.97454,-3.2978675
58.993397,-11.54686
60.404945,-12.557799
57.017284,-17.851908
73.257225,-0.14163023
58.697765,-13.324066
76.57092,1.9827824
66.50931,-6.2215586
74.519775,-3.1001654
64.50658,-7.1495175
56.939133,-17.969267
58.856224,-3.9099035
57.65453,-11.635046
63.918213,-7.2584834
74.02037,-0.24287854
69.22802,-2.210746
54.93157,-13.858508
67.967705,-5.404083
58.574924,-12.805267
66.237915,-5.808982
52.581516,-14.719312
71.50377,-2.3535979
55.30447,-14.308147
56.46859,-17.305674
57.344513,-13.789895
70.059906,-2.3444924
70.38976,-4.964227
75.87452,3.9035318
73.103546,-2.153468
55.09874,-14.009716
69.38877,6.9891615
54.6588,-20.307167
51.398216,-21.713882
56.434868,-11.493399
73.40074,-3.0125062
51.09001,-22.29919
64.34513,-6.8929534
54.911842,-19.07913
56.94583,-14.67337
73.186325,-1.6749041
72.40733,-0.31895688
73.3231,-3.5879583
59.178894,-11.575951
68.69611,-3.7879226
72.87585,6.560288
-43.830597,-22.489204
51.598488,-20.916424
72.31805,-2.7180743
66.399315,-1.2919195
56.702927,-16.768982
72.64215,6.5147495
64.959,-6.1468687
